	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
5790	YES		TRUE	ZeroN	sprout	sprout	result	eng-30-00095377-v	put forth and grow sprouts or shoots	eng-30-07719437-n	a newly grown bud (especially from a germinating seed)	MS
5791	YES	er	FALSE		limp	limper	agent	eng-30-01917244-v	walk impeded by some physical limitation or injury	eng-30-10178917-n	someone who has a limp and walks with a hobbling gait	MS
5792	YES		TRUE	ZeroN	suck	suck	event	eng-30-01186428-v	give suck to	eng-30-00842692-n	the act of sucking	MS
5793	YES	er	FALSE		waver	waverer	agent	eng-30-02740204-v	be unsure or weak	eng-30-10603528-n	one who hesitates (usually out of fear)	MS
5794	YES	er	FALSE		pack	packer	agent	eng-30-01926031-v	hike with a backpack	eng-30-10304505-n	a wholesaler in the meat-packing business	MS
5795	YES		TRUE	ZeroV	decease	decease	event	eng-30-00358431-v	pass from physical life and lose all bodily attributes and functions necessary to sustain life	eng-30-07355491-n	the event of dying or departure from life	MS
5796	YES		TRUE		play	play	event	eng-30-02418686-v	be at play; be engaged in playful activity; amuse oneself in a way characteristic of children	eng-30-00431893-n	activity by children that is guided more by imagination than by fixed rules	MS
5797	YES		TRUE		smart	smart	event	eng-30-02122164-v	be the source of pain	eng-30-14331873-n	a kind of pain such as that caused by a wound or a burn or a sore	MS
5798	YES	ation	FALSE		commute	commutation	event	eng-30-00161987-v	exchange a penalty for a less severe one	eng-30-01165919-n	(law) the reduction in severity of a punishment imposed by law	MS
5800	YES	ation	FALSE		instrument	instrumentation	event	eng-30-02340543-v	equip with instruments for measuring, recording, or controlling	eng-30-00097348-n	the act of providing or using the instruments needed for some implementation	MS
5801	YES	tion	FALSE		obtain	obtention	event	eng-30-02238085-v	come into possession of	eng-30-00077856-n	the act of obtaining	MS
5802	YES		TRUE		compliment	compliment	undergoer	eng-30-00881661-v	say something to someone that expresses praise	eng-30-06695227-n	a remark (or act) expressing praise and admiration	MS
5803	YES	ance	FALSE		continue	continuance	event	eng-30-02684924-v	continue a certain state, condition, or activity	eng-30-01017987-n	the act of continuing an activity without interruption	MS
5804	YES		TRUE		scam	scam	event	eng-30-02572119-v	deprive of by deceit	eng-30-00754280-n	a fraudulent business scheme	MS
5805	YES	tion	FALSE		petrify	petrifaction	event	eng-30-00507485-v	change into stone	eng-30-13535583-n	the process of turning some plant material into stone by infiltration with water carrying mineral particles without changing the original shape	MS
5806	YES		TRUE	ZeroN	swab	swab	instrument	eng-30-01244178-v	wash with a swab or a mop	eng-30-04367480-n	cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors	MS
5807	YES	ation	FALSE		apply	application	event	eng-30-01158872-v	put into service; make work or employ for a particular purpose or for its inherent or natural purpose	eng-30-00949134-n	the act of bringing something to bear; using it for a particular purpose	MS
5808	YES		TRUE	ZeroN	jump	jump	event	eng-30-01968275-v	jump from an airplane and descend with a parachute	eng-30-00303849-n	descent with a parachute	MS
5809	YES	ion	FALSE		admit	admission	by-means-of	eng-30-02502536-v	allow to enter; grant entry to	eng-30-13321495-n	the fee charged for admission	MS
5810	YES	er	FALSE		mount	mounter	agent	eng-30-01921964-v	go upward with gradual or continuous progress	eng-30-10334957-n	someone who ascends on foot	MS
5812	YES	er	FALSE		tame	tamer	agent	eng-30-00302130-v	overcome the wildness of; make docile and tractable	eng-30-10690538-n	an animal trainer who tames wild animals	MS
5813	YES	sion	FALSE		introvert	introversion	event	eng-30-01506812-v	fold inwards	eng-30-13501941-n	the folding in of an outer layer so as to form a pocket in the surface	MS
5814	YES	er	FALSE		draw	drawer	agent	eng-30-01690294-v	represent by making a drawing of, as with a pencil, chalk, etc. on a surface	eng-30-10029068-n	an artist skilled at drawing	MS
5815	YES		TRUE	ZeroV	focus	focus	result	eng-30-00731789-v	bring into focus or alignment; to converge or cause to converge; of ideas or emotions	eng-30-04821084-n	maximum clarity or distinctness of an idea	MS
5816	YES	ion	FALSE		stimulate	stimulation	event	eng-30-00770437-v	cause to do; cause to act in a specified manner	eng-30-05827684-n	any stimulating information or event; acts to arouse action	MS
5817	YES		TRUE	ZeroV	tusk	tusk	undergoer	eng-30-00198213-v	remove the tusks of animals	eng-30-14757547-n	a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses	MS
5818	YES		TRUE	ZeroN	tinkle	tinkle	event	eng-30-02186506-v	make or emit a high sound	eng-30-07398097-n	a light clear metallic sound as of a small bell	MS
5819	YES	ion	FALSE		lactate	lactation	event	eng-30-01186428-v	give suck to	eng-30-13505987-n	the production and secretion of milk by the mammary glands	MS
5820	YES	ion	FALSE		hallucinate	hallucination	event	eng-30-02117649-v	perceive what is not there; have illusions	eng-30-14377617-n	illusory perception; a common symptom of severe mental disorder	MS
5821	YES	er	FALSE		sponge	sponger	agent	eng-30-02270404-v	ask for and get free; be a parasite	eng-30-10252674-n	a follower who hangs around a host (without benefit to the host) in hope of gain or advantage	MS
5822	YES		TRUE	ZeroV	fool	fool	agent	eng-30-00854904-v	fool or hoax	eng-30-09921409-n	a person who is gullible and easy to take advantage of	MS
5823	YES	er	FALSE		field	fielder	agent	eng-30-01081852-v	play as a fielder	eng-30-10086568-n	a member of the baseball team that is in the field instead of at bat	MS
5825	YES	ment	FALSE		allure	allurement	event	eng-30-00793785-v	dispose or incline or entice to	eng-30-00161044-n	the act of enticing a person to do something wrong (as an offer of sex in return for money)	MS
5826	YES		TRUE	ZeroV	order	order	state	eng-30-02511551-v	bring into conformity with rules or principles or usage; impose regulations	eng-30-13968547-n	established customary state (especially of society)	MS
5827	YES	er	FALSE		line	liner	by-means-of	eng-30-01270784-v	cover the interior of	eng-30-03673270-n	a piece of cloth that is used as the inside surface of a garment	MS
5829	YES	ion	FALSE		introspect	introspection	event	eng-30-00631591-v	reflect on one's own thoughts and feelings	eng-30-05786655-n	the contemplation of your own thoughts and desires and conduct	MS
5830	YES		TRUE	ZeroV	print	print	result	eng-30-01745722-v	put into print	eng-30-06678302-n	the text appearing in a book, newspaper, or other printed publication	MS
5831	YES		TRUE	Zero	rig	rig	uses	eng-30-00408085-v	equip with sails or masts	eng-30-04091247-n	formation of masts, spars, sails, etc., on a vessel	MS
5832	YES	or	FALSE		renovate	renovator	agent	eng-30-00164201-v	restore to a previous or better condition	eng-30-10514962-n	a skilled worker who is employed to restore or refinish buildings or antique furniture	MS
5833	YES	ion	FALSE		conglutinate	conglutination	event	eng-30-01600191-v	cause to adhere	eng-30-13571365-n	healing process involving the growing together of the edges of a wound or the growing together of broken bones	MS
5834	YES	er	FALSE		buff	buffer	instrument	eng-30-01246095-v	polish and make shiny	eng-30-02911332-n	a power tool used to buff surfaces	MS
5835	YES	ion	FALSE		sibilate	sibilation	event	eng-30-01055404-v	pronounce with an initial sibilant	eng-30-07129202-n	pronunciation with a sibilant (hissing or whistling) sound	MS
5836	YES	er	FALSE		license	licenser	agent	eng-30-02444662-v	authorize officially	eng-30-10258602-n	an official who can issue a license or give authoritative permission (especially one who licenses publications)	MS
5837	YES		TRUE	ZeroN	sort	sort	result	eng-30-00654625-v	arrange or order by classes or categories	eng-30-05839024-n	a category of things distinguished by some common characteristic or quality	MS
5838	YES	ion	FALSE		obliterate	obliteration	event	eng-30-00478830-v	mark for deletion, rub off, or erase	eng-30-07331013-n	the complete destruction of every trace of something	MS
5839	YES		TRUE		ban	ban	event	eng-30-02493666-v	forbid the public distribution of ( a movie or a newspaper)	eng-30-07255401-n	an official prohibition or edict against something	MS
5840	YES		TRUE	Zero	bang	bang	event	eng-30-01242391-v	strike violently	eng-30-07410207-n	a vigorous blow	MS
5841	YES		TRUE		sleep	sleep	state	eng-30-00014742-v	be asleep	eng-30-14024882-n	a natural and periodic state of rest during which consciousness of the world is suspended	MS
5842	YES		TRUE	ZeroV	drill	drill	event	eng-30-00606093-v	learn by repetition	eng-30-00894552-n	systematic training by multiple repetitions	MS
5843	YES		TRUE	ZeroN	stare	stare	event	eng-30-02132745-v	look at with fixed eyes	eng-30-00878456-n	a fixed look with eyes open wide	MS
5844	YES		TRUE		middle	middle	location	eng-30-01498498-v	put in the middle	eng-30-08523483-n	an area that is approximately central within some larger region	MS
5845	YES	ation	FALSE		civilise	civilisation	property	eng-30-02388403-v	teach or refine to be discriminative in taste or judgment	eng-30-04811995-n	the quality of excellence in thought and manners and taste	MS
5846	YES	ion	FALSE		re-create	re-creation	event	eng-30-00736799-v	form anew in the imagination; recollect and re-form in the mind	eng-30-00908772-n	the act of creating again	MS
5847	YES		TRUE	ZeroV	whiff	whiff	event	eng-30-02100861-v	drive or carry as if by a puff of air	eng-30-11497888-n	a short light gust of air	MS
5848	YES		TRUE	ZeroV	school	school	location	eng-30-02387910-v	educate in or as if in a school	eng-30-04146050-n	a building where young people receive education	MS
5849	YES	er	FALSE		steep	steeper	instrument	eng-30-00327362-v	let sit in a liquid to extract a flavor or to cleanse	eng-30-04312311-n	a vessel (usually a pot or vat) used for steeping	MS
5850	YES		TRUE	ZeroV	pilot	pilot	agent	eng-30-01941093-v	operate an airplane	eng-30-10433164-n	someone who is licensed to operate an aircraft in flight	MS
5851	YES		TRUE		negative	negative	event	eng-30-02473431-v	vote against; refuse to endorse; refuse to assent	eng-30-07204911-n	a reply of denial	MS
5852	YES		TRUE		disorder	disorder	state	eng-30-00276373-v	bring disorder to	eng-30-14499262-n	a condition in which things are not in their expected places	MS
5853	YES	er	FALSE		keep	keeper	agent	eng-30-02202928-v	look after; be the keeper of; have charge of	eng-30-10229498-n	someone in charge of other people	MS
5854	YES		TRUE	Zero	ram	ram	instrument	eng-30-01575146-v	strike or drive against with a heavy impact	eng-30-04050410-n	a tool for driving or forcing something by impact	MS
5855	YES		TRUE		play	play	event	eng-30-01138911-v	bet or wager (money)	eng-30-00430140-n	the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)	MS
5856	YES		TRUE	ZeroN	aim	aim	event	eng-30-00708980-v	propose or intend	eng-30-05981230-n	the goal intended to be attained (and which is believed to be attainable)	MS
5857	YES	ence	FALSE		infer	inference	event	eng-30-00944924-v	conclude by reasoning; in logic	eng-30-05774614-n	the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation	MS
5858	YES		TRUE	Zero	pair	pair	result	eng-30-01465218-v	arrange in pairs	eng-30-13743605-n	two items of the same kind	MS
5859	YES	er	FALSE		consign	consigner	agent	eng-30-02347637-v	give over to another for care or safekeeping	eng-30-09958569-n	the person who delivers over or commits merchandise	MS
5860	YES	ment	FALSE		underpay	underpayment	event	eng-30-02250216-v	pay too little	eng-30-01122488-n	the act of paying less than required	MS
5861	YES	er	FALSE		plait	plaiter	agent	eng-30-01674717-v	make by braiding or interlacing	eng-30-10438042-n	someone who plaits (hair or fabric etc.)	MS
5862	YES	ion	FALSE		aberrate	aberration	event	eng-30-02661769-v	diverge or deviate from the straight path; produce aberration	eng-30-11420139-n	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image	MS
5863	YES		TRUE		scourge	scourge	instrument	eng-30-02500775-v	punish severely; excoriate	eng-30-04149968-n	a whip used to inflict punishment (often used for pedantic humor)	MS
5864	YES		TRUE		predicate	predicate	undergoer	eng-30-01017222-v	make the (grammatical) predicate in a proposition	eng-30-06316626-n	one of the two main constituents of a sentence; the predicate contains the verb and its complements	MS
5865	YES		TRUE		clasp	clasp	instrument	eng-30-01548576-v	fasten with or as if with a brooch	eng-30-03038281-n	a fastener (as a buckle or hook) that is used to hold two things together	MS
5866	YES		TRUE	ZeroV	companion	companion	agent	eng-30-02716767-v	be a companion to somebody	eng-30-09760609-n	one paid to accompany or assist or live with another	MS
5867	YES		TRUE	Zero	heel	heel	by-means-of	eng-30-01751545-v	perform with the heels	eng-30-03511426-n	the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation	MS
5868	YES	ation	FALSE		strangle	strangulation	state	eng-30-00359405-v	die from strangulation	eng-30-14298247-n	the condition of having respiration stopped by compression of the air passage	MS
5869	YES		TRUE		inset	inset	undergoer	eng-30-00188466-v	set or place in	eng-30-03471190-n	a piece of material used to strengthen or enlarge a garment	MS
5870	YES	er	FALSE		transfer	transferrer	agent	eng-30-02012344-v	move around	eng-30-10724699-n	someone who transfers something	MS
5871	YES	ion	FALSE		elevate	elevation	result	eng-30-00544549-v	raise in rank or condition	eng-30-13940456-n	the highest level or degree attainable; the highest stage of development	MS
5872	YES	ment	FALSE		amend	amendment	event	eng-30-00996328-v	make amendments to	eng-30-06723635-n	a statement that is added to or revises or improves a proposal or document (a bill or constitution etc.)	MS
5873	YES		TRUE	ZeroV	mask	mask	event	eng-30-01358855-v	cover with a sauce	eng-30-01049475-n	activity that tries to conceal something	MS
